# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-a" "plants/references/Arabidopsis_thaliana.TAIR10.59.gtf" "-o" "plants/counts/counts.txt" "plants/alignments/IGV/SRR12808497_Aligned.sortedByCoord.out.bam" "plants/alignments/IGV/SRR12808498_Aligned.sortedByCoord.out.bam" "plants/alignments/IGV/SRR12808499_Aligned.sortedByCoord.out.bam" "plants/alignments/IGV/SRR12808527_Aligned.sortedByCoord.out.bam" "plants/alignments/IGV/SRR12808528_Aligned.sortedByCoord.out.bam" "plants/alignments/IGV/SRR12808529_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	plants/alignments/IGV/SRR12808497_Aligned.sortedByCoord.out.bam	plants/alignments/IGV/SRR12808498_Aligned.sortedByCoord.out.bam	plants/alignments/IGV/SRR12808499_Aligned.sortedByCoord.out.bam	plants/alignments/IGV/SRR12808527_Aligned.sortedByCoord.out.bam	plants/alignments/IGV/SRR12808528_Aligned.sortedByCoord.out.bam	plants/alignments/IGV/SRR12808529_Aligned.sortedByCoord.out.bam
AT1G26670	1;1;1;1;1	9215770;9216860;9217008;9217373;9217641	9216199;9216918;9217196;9217543;9218010	+;+;+;+;+	1219	532	134	283	243	351	181
AT1G34855	1;1;1	12801427;12801634;12801984	12801622;12801929;12802067	+;+;+	576	0	0	0	0	0	0
AT1G52200	1;1;1;1;1;1;1	19441636;19442068;19442726;19443029;19443029;19443209;19443209	19442359;19442938;19442938;19443100;19443100;19443631;19443624	-;-;-;-;-;-;-	1798	613	264	239	18	13	0
AT1G57800	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	21408623;21408623;21409027;21409027;21409345;21409345;21409568;21409568;21409755;21409755;21409917;21409917;21410104;21410104;21410350;21410350;21411774;21411774	21408941;21408941;21409241;21409241;21409492;21409492;21409670;21409670;21409807;21409819;21410019;21410019;21410229;21410229;21410879;21410879;21412283;21412283	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2119	0	0	0	0	0	0
AT1G69460	1;1;1;1	26111688;26112271;26112660;26112948	26112198;26112347;26112869;26113256	-;-;-;-	1107	508	97	90	442	344	148
AT1G04310	1;1;1;1;1;1	1154740;1154764;1155350;1155350;1157546;1157651	1155277;1155277;1157139;1157139;1157813;1157786	-;-;-;-;-;-	2596	244	38	43	236	280	112
AT1G08080	1;1;1;1;1;1;1	2516991;2517214;2517351;2517628;2517826;2518154;2518444	2517096;2517267;2517518;2517730;2517932;2518371;2518611	-;-;-;-;-;-;-	924	4	34	1	0	0	0
AT1G75550	1;1;1	28368447;28369232;28369490	28368794;28370008;28370061	-;-;-	1178	456	128	171	380	439	266
AT1G71890	1;1;1	27058381;27059837;27060356	27059748;27059900;27060786	+;+;+	1863	0	0	0	0	12	0
AT1G05430	1;1;1;1;1;1	1594053;1594540;1594923;1595133;1595321;1595675	1594430;1594807;1595043;1595186;1595426;1595923	-;-;-;-;-;-	1176	277	61	60	59	234	61
AT1G80870	1	30391899	30394398	+	2500	54	0	89	394	373	217
AT1G75310	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	28260801;28260831;28261588;28261588;28265178;28265181;28265307;28265313;28265470;28265470;28265635;28265635;28265814;28265814;28266089;28266089	28261368;28261368;28265089;28265089;28265229;28265229;28265374;28265374;28265535;28265535;28265724;28265724;28265990;28265990;28266323;28266124	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4758	267	132	124	347	362	115
AT1G02010	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	347613;347805;347824;347824;347974;348212;348212;348212;348212;348373;348373;348373;348373;348373;348562;348562;348562;348562;348562;348735;348735;348735;348735;348735;348880;348880;348880;348880;348880;349020;349067;349067;349067;349067;349238;349238;349238;349238;349238;349238;349550;349550;349550;349550;349550;349550;349803;349803;349803;349803;349803;349803;350049;350049;350049;350049;350049;350049;350226;350226;350226;350226;350226;350226;350474;350474;350474;350474;350474;350474;350658;350658;350658;350658;350658;350658;350871;350871;350871;350871;350871;350871;351044;351044;351044;351044;351044;351044;351252;351252;351252;351252;351252;351252;351412;351412;351412;351412;351412;351412;351729;351729;351729;351729;351737;351912;351912;351912;351912;351912;351912;352126;352126;352126;352126;352126;352126	348127;348127;348267;348127;348127;348267;348267;348267;348267;348454;348454;348454;348454;348454;348640;348640;348640;348640;348640;348785;348785;348785;348785;348785;348976;348976;348976;348976;349099;349099;349099;349099;349099;349099;349366;349366;349366;349366;349366;349366;349720;349720;349720;349720;349720;349720;349886;349886;349886;349886;349886;349886;350147;350147;350147;350147;350147;350147;350296;350296;350296;350296;350296;350296;350570;350570;350570;350570;350570;350570;350783;350783;350783;350783;350783;350783;350966;350966;350966;350966;350966;350966;351160;351160;351160;351160;351160;351160;351329;351329;351329;351329;351329;351329;351819;351601;351632;351632;351632;351632;351819;351819;351819;351819;351819;352001;352001;352001;352001;352001;352001;352543;352303;352503;352545;352536;352503	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3073	319	23	54	55	75	50
AT1G47900	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	17647144;17647144;17647144;17648017;17648017;17648017;17648158;17648158;17648158;17650511;17650511;17650511;17650937;17650937;17650937;17651402;17651402	17647735;17647735;17647735;17648071;17648077;17648077;17650420;17650420;17650420;17650856;17650856;17650856;17651041;17651126;17651041;17651425;17651791	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3842	380	279	175	703	861	346
AT1G14315	1;1;1	4886768;4886861;4887539	4887439;4887377;4887933	-;-;-	1067	0	1	21	0	0	0
AT1G26760	1	9248152	9249943	-	1792	0	2	5	14	86	34
AT1G05250	1;1;1;1	1525601;1526423;1526682;1526957	1526336;1526588;1526867;1527360	-;-;-;-	1492	0	0	0	0	0	0
AT1G67260	1;1;1;1;1;1	25167418;25167923;25168108;25168228;25168263;25168263	25167668;25168162;25168162;25169307;25169707;25169707	-;-;-;-;-;-	1971	0	0	0	0	0	0
AT1G24575	1	8710847	8711578	-	732	86	63	115	109	110	153
AT1G12790	1;1;1;1;1;1;1;1;1	4358895;4359580;4359898;4360067;4360195;4360380;4360558;4360735;4361153	4359502;4359746;4359981;4360107;4360289;4360475;4360646;4360862;4361371	-;-;-;-;-;-;-;-;-	1527	19	34	2	59	21	59
AT1G04850	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	1365107;1365118;1365612;1365612;1365873;1365873;1366039;1366039;1366218;1366218;1366391;1366391;1366601;1366601;1366807;1366807;1367147;1367147;1367613;1367613;1367790;1367790;1368075;1368539	1365487;1365487;1365731;1365731;1365950;1365950;1366128;1366128;1366299;1366299;1366458;1366458;1366661;1366661;1366886;1366886;1367223;1367223;1367708;1367708;1367934;1367934;1368461;1368940	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2067	1001	397	550	624	851	409
AT1G31760	1;1	11372394;11373202	11372727;11374301	-;-	1434	102	3	24	22	21	1
AT1G33250	1;1;1	12057198;12057734;12058366	12057637;12058285;12059792	-;-;-	2419	547	132	154	74	135	47
AT1G74000	1;1;1	27829051;27830087;27831160	27829743;27830356;27831536	-;-;-	1340	0	0	1	0	0	0
AT1G55580	1	20763844	20765823	+	1980	0	0	0	0	1	0
AT1G53903	1;1	20132071;20132650	20132550;20133045	+;+	876	0	0	0	0	0	0
AT1G19715	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	6816702;6816735;6816896;6817324;6817324;6817324;6817795;6817795;6817795;6818250;6818250;6818250;6818582;6818582;6818582;6819110;6819110;6819110;6819412;6819430	6817233;6817233;6817233;6817548;6817548;6817548;6818169;6818169;6818169;6818483;6818483;6818483;6819028;6819028;6819028;6819313;6819457;6819313;6819513;6819542	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2246	490	185	187	311	445	220
AT1G69430	1	26097729	26099388	+	1660	196	5	13	15	8	1
AT1G53340	1;1;1	19898849;19898851;19898851	19901091;19900999;19900962	-;-;-	2243	0	11	0	0	0	1
AT1G29890	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	10463029;10463403;10463423;10464111;10464111;10464111;10464320;10464320;10464320;10464544;10464544;10464676;10464676;10464676;10464932;10464932;10464932;10465263;10465263;10465263;10465530;10465530;10465932;10465932;10465932;10466127;10466127;10466127;10466307;10466307;10466307;10466501;10466501;10466501;10466647;10466647;10466647;10466821;10466821;10466821;10466998;10466998;10466998	10463579;10463579;10463579;10464202;10464202;10464202;10464457;10464600;10464457;10464600;10464600;10464748;10464748;10464748;10465090;10465090;10465090;10465785;10465412;10465412;10465785;10465785;10466047;10466047;10466047;10466213;10466213;10466213;10466395;10466395;10466395;10466563;10466563;10466563;10466703;10466703;10466703;10466917;10466917;10466917;10467170;10467226;10467452	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2643	353	185	186	188	503	341
AT1G80290	1;1;1	30187920;30188364;30188579	30189823;30188437;30189574	+;+;+	1904	176	39	148	81	45	31
AT1G56540	1;1;1;1;1;1;1	21181585;21181585;21182265;21183454;21183454;21183885;21183885	21183360;21182139;21183360;21183750;21183750;21185495;21185495	+;+;+;+;+;+;+	3684	349	25	56	4	0	29
AT1G48650	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	17989131;17989398;17989708;17990229;17990229;17990436;17990436;17990678;17990678;17990833;17990833;17991270;17991270;17991504;17991504;17991664;17991664;17991966;17991966;17992289;17992289;17992654;17992654;17992937;17992937;17993154;17993154;17993490;17993490;17993771;17993771;17993964;17993964;17994375;17994375;17994554;17994554;17994792;17994792	17990143;17989581;17990143;17990339;17990339;17990588;17990588;17990737;17990737;17991138;17991138;17991418;17991418;17991573;17991573;17991867;17991867;17992160;17992160;17992561;17992561;17992824;17992824;17993067;17993067;17993313;17993313;17993678;17993678;17993866;17993866;17994194;17994194;17994462;17994462;17994708;17994708;17995339;17995326	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4303	841	99	194	220	598	113
AT1G22670	1;1;1;1	8021835;8022447;8022936;8023387	8022365;8022845;8023163;8023516	-;-;-;-	1288	0	0	0	0	0	0
AT1G07030	1;1	2158413;2159751	2158837;2160818	-;-	1493	308	340	226	173	132	126
AT1G69860	1;1;1;1	26309628;26309835;26310399;26311373	26309715;26310052;26310958;26312174	+;+;+;+	1668	0	0	0	0	7	0
AT1G10120	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	3304039;3304228;3304341;3304341;3304515;3304515;3304727;3304727;3304897;3304897;3305051;3305051;3305219;3305219;3305511;3305511;3306491	3304250;3304250;3304425;3304425;3304634;3304634;3304798;3304798;3304965;3304965;3305116;3305116;3305410;3305410;3305988;3306956;3306907	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2262	50	104	80	268	414	221
AT1G43650	1;1;1;1;1;1;1;1;1;1;1;1;1	16443582;16443620;16444120;16444120;16444355;16445445;16445445;16446303;16446303;16446504;16446504;16446639;16446639	16443993;16443993;16444271;16444513;16444513;16445676;16445676;16446419;16446419;16446566;16446566;16446885;16446918	-;-;-;-;-;-;-;-;-;-;-;-;-	1498	101	45	25	93	190	88
AT1G09960	1;1;1;1;1;1	3243986;3245159;3246023;3246215;3246560;3246828	3244795;3245886;3246086;3246258;3246741;3247216	+;+;+;+;+;+	2217	370	224	46	194	167	62
AT1G51990	1;1;1;1;1;1;1;1	19330949;19330949;19331461;19331477;19332064;19332064;19332365;19332365	19331374;19331358;19331774;19331774;19332128;19332128;19332667;19332667	+;+;+;+;+;+;+;+	1108	0	0	0	0	0	0
AT1G53625	1	20014379	20015038	-	660	1820	647	344	0	1	5
AT1G63360	1;1;1	23498484;23499189;23501960	23502321;23501854;23502269	-;-;-	3838	116	156	113	161	329	157
AT1G33330	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	12084914;12084951;12084951;12085521;12085521;12085521;12085727;12085727;12085727;12085872;12085872;12085872;12086218;12086218;12086218;12086543;12086865;12086865	12085439;12085439;12085439;12085648;12085648;12085648;12085797;12085797;12085797;12085953;12085953;12085953;12086350;12086584;12086554;12086584;12086880;12086883	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1193	265	0	30	65	132	42
AT1G74929	1	28143997	28144098	-	102	0	0	0	0	0	0
AT1G63430	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	23522449;23522495;23522497;23522763;23523317;23523317;23523317;23523592;23523592;23523592;23523749;23523749;23523749;23523992;23523992;23523992;23524230;23524230;23524230;23524427;23524427;23524427;23524574;23524574;23524574;23524923;23524923;23524923;23525237;23525237;23525237;23525460;23525460;23525460;23525718;23525718;23525718;23526116;23526188;23526188	23522977;23522598;23522977;23522977;23523455;23523455;23523455;23523663;23523663;23523663;23523892;23523892;23523892;23524132;23524132;23524132;23524346;23524346;23524346;23524491;23524491;23524491;23524831;23524831;23524831;23525128;23525128;23525128;23525369;23525369;23525369;23525617;23525617;23525617;23525933;23525933;23525933;23526832;23526770;23526770	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2895	758	191	196	462	764	204
AT1G80720	1;1;1;1;1;1	30336097;30336135;30336769;30336769;30337185;30337185	30336375;30336375;30337091;30337091;30337690;30337716	+;+;+;+;+;+	1134	38	47	8	14	88	3
AT1G69770	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	26248118;26248756;26249013;26249179;26249302;26249513;26249736;26249912;26250068;26250214;26250776;26250925;26251076;26251410;26251566;26251886;26252089;26252295;26252917;26253137;26253304	26248658;26248859;26249082;26249222;26249406;26249628;26249823;26249998;26250136;26250543;26250842;26250983;26251333;26251475;26251774;26251985;26252208;26252402;26253019;26253174;26253687	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3066	113	153	74	214	283	134
AT1G08460	1;1;1;1;1	2672198;2672198;2672921;2672921;2674167	2672770;2672770;2673507;2674721;2674721	+;+;+;+;+	2374	82	0	13	107	104	82
AT1G78710	1;1;1;1;1;1;1;1;1;1	29601253;29602692;29602766;29603474;29603474;29603726;29603726;29604010;29604260;29604260	29601535;29602979;29602979;29603645;29603645;29603904;29603904;29604168;29604557;29604610	+;+;+;+;+;+;+;+;+;+	1432	1	0	0	0	0	0
AT1G08610	1;1	2733596;2735716	2735634;2735819	-;-	2143	49	0	27	27	90	0
AT1G17540	1;1;1;1;1;1;1;1;1;1;1	6029138;6029714;6030212;6030654;6031159;6031341;6031479;6031753;6032094;6032315;6032485	6029607;6030123;6030575;6031061;6031236;6031397;6031662;6032004;6032215;6032412;6032860	-;-;-;-;-;-;-;-;-;-;-	2819	0	0	18	0	21	0
AT1G27380	1;1;1;1;1;1;1;1;1;1;1;1;1	9508680;9508680;9508684;9508745;9509538;9509538;9509538;9509538;9509797;9509797;9509797;9509972;9509972	9509069;9509069;9509069;9509069;9509675;9509675;9509675;9510269;9510263;9509877;9509877;9510066;9510269	-;-;-;-;-;-;-;-;-;-;-;-;-	1122	14	4	17	14	14	4
AT1G58643	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	21766847;21767342;21767447;21767680;21767680;21768008;21768008;21768314;21768314;21768449;21768449;21768633;21768633;21769325;21769325	21766996;21767551;21767551;21767886;21767886;21768155;21768155;21768357;21768357;21768559;21768559;21769241;21769241;21769564;21769657	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1812	0	0	0	0	0	0
AT1G48953	1	18110814	18111463	-	650	0	0	0	0	0	0
AT1G51440	1	19070798	19072753	+	1956	15	12	0	86	109	0
AT1G18871	1	6519309	6519485	-	177	0	0	0	0	0	0
AT1G25210	1;1;1;1;1;1;1;1;1;1;1;1;1;1	8833245;8833245;8833448;8833448;8833944;8833944;8834240;8834240;8834436;8834436;8834567;8834567;8834821;8834821	8833346;8833346;8833756;8833756;8834150;8834150;8834341;8834341;8834472;8834500;8834711;8834711;8835112;8835235	+;+;+;+;+;+;+;+;+;+;+;+;+;+	1345	0	0	0	0	0	0
AT1G21610	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	7573830;7573830;7573830;7573830;7573905;7573944;7574956;7574956;7574956;7574956;7574956;7574956;7575193;7575193;7575193;7575193;7575193;7575193;7575359;7575359;7575359;7575359;7575359;7575359;7575831;7575831;7575831;7575831;7575831;7575831;7576039;7576039;7576039;7576039;7576039;7576039;7576585;7576585;7576585;7576585;7576585;7576585;7576752;7576752;7576752;7576752;7576752;7576752;7576949;7576949;7576952;7576952;7576952;7576952;7577221;7577221;7577221;7577221;7577221;7577221;7577628;7577628;7577628;7577628;7577628;7577849;7577849;7577849;7578052;7578052;7578052;7578052;7578052;7578251;7578251;7578251;7578251;7578251;7578251	7574343;7574343;7574343;7574343;7574343;7574343;7575042;7575042;7575042;7575042;7575042;7575042;7575285;7575285;7575285;7575285;7575285;7575285;7575435;7575435;7575435;7575435;7575435;7575435;7575957;7575957;7575957;7575957;7575957;7575957;7576380;7576380;7576380;7576380;7576380;7576380;7576666;7576666;7576666;7576666;7576666;7576666;7576864;7576864;7576864;7576864;7576864;7576864;7577035;7577035;7577035;7577035;7577035;7577035;7577346;7577346;7577346;7577896;7577346;7577346;7577756;7577756;7578162;7577756;7577896;7577896;7577896;7577896;7578162;7578165;7578162;7578162;7578162;7578957;7578956;7578957;7578956;7578963;7578956	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3180	146	55	147	227	281	165
AT1G79710	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	29994962;29994962;29994962;29995591;29995591;29995591;29995939;29995939;29995939;29996109;29996109;29996109;29996398;29996398;29996398;29996829;29997142	29995512;29995512;29995512;29995850;29995850;29995850;29996034;29996034;29996034;29996279;29996279;29996279;29997010;29997173;29996683;29996922;29997201	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1882	171	80	87	211	215	109
AT1G80840	1;1;1;1	30383561;30384331;30384768;30384994	30383920;30384672;30384884;30385499	+;+;+;+	1325	13683	2824	3020	47	61	19
